Date,Code,weigh,temperature,Humidity(out),PH,Humidity,sum,result
21,B19,0,25,75,7.2,5.5,0,fail
22,B19,0,25,75,7.2,4.8,0,fail
23,B19,0,25,75,7.2,5,0,fail
24,B19,0,25,75,7.2,6.5,0,fail
25,B19,70,25,75,7.2,8.3,130,normal
26,B19,0,25,75,7.2,7,0,fail
27,B19,0,25,75,7.2,6.5,0,fail
28,B19,90,25,75,7.2,7.5,0,fail
29,B19,0,25,75,7.2,8,0,fail
1,B20,0,25,75,6.8,9,0,fail
2,B20,0,25,75,6.8,9.5,0,fail
3,B20,0,25,75,6.8,9.2,0,fail
4,B20,0,25,75,6.8,9.2,0,fail
5,B20,30,25,75,7,4.8,30,very bad
6,B20,0,25,75,7,7.2,0,fail
7,B20,0,25,75,7,8.5,0,fail
8,B20,0,25,75,7,8.5,0,fail
9,B20,0,25,75,7,9,0,fail
10,B20,0,25,75,7,8.8,0,fail
11,B20,0,25,75,7,8,0,fail
12,B20,0,25,75,7,8.2,0,fail
13,B20,0,25,75,7,7,0,fail
14,B20,0,25,75,7,7.8,0,fail
15,B20,0,25,75,7,6,0,fail
16,B20,0,25,75,7,6.5,0,fail
17,B20,0,25,75,7,5,0,fail
18,B20,0,25,75,7,7.3,0,fail
19,B20,0,25,75,7,7.8,0,fail
20,B20,0,25,75,7,8.5,0,fail
21,B20,0,25,75,7,8,0,fail
22,B20,0,25,75,7,6.2,0,fail
23,B20,0,25,75,7,4.8,0,fail
24,B20,0,25,75,7,5.5,0,fail
25,B20,0,25,75,7,6.2,0,fail
26,B20,0,25,75,7.2,7,0,fail
27,B20,0,25,75,7.2,4.7,0,fail
28,B20,130,25,75,7.2,9,160,very good
29,B20,0,25,75,7.2,7.5,0,fail
1,B21,0,25,75,6.8,9,0,fail
2,B21,0,25,75,6.8,9.5,0,fail
3,B21,0,25,75,6.8,9.2,0,fail
4,B21,0,25,75,6.8,9.2,0,fail
5,B21,0,25,75,7,4.8,0,fail
6,B21,0,25,75,7,7.2,0,fail
7,B21,0,25,75,7,8.5,0,fail
8,B21,0,25,75,7,8.5,0,fail
9,B21,0,25,75,7,9,0,fail
10,B21,100,25,75,7,8.3,0,very good
11,B21,0,25,75,7,8,0,fail
12,B21,0,25,75,7,8.2,0,fail
13,B21,0,25,75,7,7,0,fail
14,B21,0,25,75,7,7.8,0,fail
15,B21,0,25,75,7,6,0,fail
16,B21,0,25,75,7,6.5,0,fail
17,B21,0,25,75,7,5,0,fail
18,B21,0,25,75,7,7.3,0,fail
19,B21,0,25,75,7,7.8,0,fail
20,B21,0,25,75,7,8.5,0,fail
